,Date,Name,Category,Price
0,2023-02-09, Fresh Strawberry  250G,Fruit,3.0
1,2023-02-09, White Seedless Grapes Bunch Each,Fruit,6.56
2,2023-02-09, Fresh Blueberries  125G,Fruit,3.5
3,2023-02-09,Driscoll's Fresh Raspberry  125G,Fruit,2.9
4,2023-02-09, Cavendish Bananas  Each,Fruit,0.81
5,2023-02-09,Woolworths Red Watermelon Cut Quarter Each,Fruit,6.38
6,2023-02-09, Fresh Granny Smith Apples Each,Fruit,0.86
7,2023-02-09, Lime Fresh  Each,Fruit,1.34
8,2023-02-09, Lemon Fresh  Each,Fruit,1.56
9,2023-02-09,Woolworths Fresh Granny Smith Apples 1Kg,Fruit,4.9
10,2023-02-09,Jazz Apple  Each,Fruit,1.31
11,2023-02-09, Orange Navel  Each,Fruit,1.78
12,2023-02-09, Lychee Fresh  Per Kg,Fruit,21.9
13,2023-02-09,Woolworths Baby Spinach Spinach 280g,Vegatable,5.0
14,2023-02-09,Woolworths Baby Leaf Rocket  120g,Vegatable,3.3
15,2023-02-09,Woolworths Cherry Tomatoes  250G,Vegatable,3.0
16,2023-02-09, Spring Onion Eschallot Bunch,Vegatable,2.8
17,2023-02-09, Hass Avocado  Each,Vegatable,3.5
18,2023-02-09,Woolworths Australian Grown Carrots 1Kg,Vegatable,1.0
19,2023-02-09, Fresh Broccoli  Each,Vegatable,1.62
20,2023-02-09,Select Continental Cucumbers  Each,Vegatable,3.5
21,2023-02-09, Potato White Washed  Each,Vegatable,0.81
22,2023-02-09, Onion Red  Each,Vegatable,0.68
23,2023-02-09, Onion Brown  Each,Vegatable,0.59
24,2023-02-09, Sweet Potato Gold  Each,Vegatable,2.21
25,2023-02-09,Woolworths Qukes Baby Cucumbers Punnet 250G,Vegatable,3.0
26,2023-02-09,Woolworths Cos Hearts Lettuce  2 Pack,Vegatable,3.5
27,2023-02-09,Woolworths Broccolini Bunch  Each,Vegatable,3.5
28,2023-02-09,Woolworths Snow Peas Fresh  250G Bag,Vegatable,7.9
29,2023-02-09, Ginger Fresh  Per Kg,Vegatable,35.0
30,2023-02-09, Cabbage Chinese Wombok  Whole Each,Vegatable,5.9
31,2023-02-09,Woolworths Garlic Head  Each,Vegatable,1.45
32,2023-02-09, Beans Round  Per Kg,Vegatable,5.9
33,2023-02-09, Corn Sweet  Each,Vegatable,0.8
34,2023-02-09,Woolworths Asparagus Green Bunch Each,Vegatable,3.9
35,2023-02-09, Brown Mushrooms Loose  Per Kg,Vegatable,12.9
36,2023-02-09,Woolworths Cook Butterflied Lamb Leg With Garlic & Herbs 750G - 1.4Kg,Meat,33.6
37,2023-02-09, Pork Belly  600G - 1.3Kg,Meat,24.7
38,2023-02-09,Woolworths Beef Mince 500G,Meat,7.0
39,2023-02-09, Chicken Thigh Fillet Per Kg,Meat,13.5
40,2023-02-09,Woolworths Beef Rump Steak Medium  270G - 750G,Meat,19.6
41,2023-02-09,A2 Full Cream Milk 2L,Fridge,6.6
42,2023-02-09,Vitasoy Oat Milk 1L,Fridge,2.0
